Vname,2005,2007,2009,2011,2013,2015,2017
ArrestedOnceMore,TA050860,TA070841,TA090901,TA111032,TA131067,TA151107,TA171937
AgeOnlyArrest,TA050861,TA070842,TA090902,TA111033,TA131068,TA151108,TA171938
AgeFirstArrest,TA050862,TA070843,TA090903,TA111034,TA131069,TA151109,TA171939
OffenseFirstOnlyArrest,TA050863,TA070844,TA090904,TA111035,TA131070,TA151110,TA171940
AgeLastArrest,TA050864,TA070845,TA090905,TA111036,TA131071,TA151111,TA171945
OffenseLastArrest,TA050865,TA070846,TA090906,TA111037,TA131072,TA151112,TA171946
JailOnceMore,TA050872,TA070853,TA090913,TA111044,TA131079,TA151119,TA171947
AgeOnlyJail,TA050873,TA070854,TA090914,TA111045,TA131080,TA151120,TA171948
AgeFirstJail,TA050874,TA070855,TA090915,TA111046,TA131081,TA151121,TA171992
OffenseFirstOnlyJail,TA050875,TA070856,TA090916,TA111047,TA131082,TA151122,TA171993
AgeLastJail,TA050876,TA070857,TA090917,TA111048,TA131083,TA151123,TA171996
OffenseLastJail,TA050877,TA070858,TA090918,TA111049,TA131084,TA151124,TA171997
EarnYearBefore,,TA070936,TA091000,TA111142,TA131233,TA151293,
EarnLastYear,,,TA090403,TA110483,TA130503,TA150512,TA170462
