ER30000,RELEASENUMBER,
ER30001,in,1968
ER30002,pn,1968
ER30003,rh,1968
ER30005,mpair,1968
ER30020,in,1969
ER30021,sn,1969
ER30022,rh,1969
ER30024,mpair,1969
ER30043,in,1970
ER30044,sn,1970
ER30045,rh,1970
ER30047,mpair,1970
ER30067,in,1971
ER30068,sn,1971
ER30069,rh,1971
ER30071,mpair,1971
ER30091,in,1972
ER30092,sn,1972
ER30093,rh,1972
ER30095,mpair,1972
ER30117,in,1973
ER30118,sn,1973
ER30119,rh,1973
ER30121,mpair,1973
ER30138,in,1974
ER30139,sn,1974
ER30140,rh,1974
ER30142,mpair,1974
ER30160,in,1975
ER30161,sn,1975
ER30162,rh,1975
ER30164,mpair,1975
ER30188,in,1976
ER30189,sn,1976
ER30190,rh,1976
ER30192,mpair,1976
ER30217,in,1977
ER30218,sn,1977
ER30219,rh,1977
ER30221,mpair,1977
ER30246,in,1978
ER30247,sn,1978
ER30248,rh,1978
ER30250,mpair,1978
ER30283,in,1979
ER30284,sn,1979
ER30285,rh,1979
ER30287,mpair,1979
ER30313,in,1980
ER30314,sn,1980
ER30315,rh,1980
ER30317,mpair,1980
ER30343,in,1981
ER30344,sn,1981
ER30345,rh,1981
ER30347,mpair,1981
ER30373,in,1982
ER30374,sn,1982
ER30375,rh,1982
ER30377,mpair,1982
ER30399,in,1983
ER30400,sn,1983
ER30401,rh,1983
ER30405,mpair,1983
ER30429,in,1984
ER30430,sn,1984
ER30431,rh,1984
ER30435,mpair,1984
ER30463,in,1985
ER30464,sn,1985
ER30465,rh,1985
ER30469,mpair,1985
ER30498,in,1986
ER30499,sn,1986
ER30500,rh,1986
ER30504,mpair,1986
ER30535,in,1987
ER30536,sn,1987
ER30537,rh,1987
ER30541,mpair,1987
ER30570,in,1988
ER30571,sn,1988
ER30572,rh,1988
ER30576,mpair,1988
ER30606,in,1989
ER30607,sn,1989
ER30608,rh,1989
ER30612,mpair,1989
ER30642,in,1990
ER30643,sn,1990
ER30644,rh,1990
ER30648,mpair,1990
ER30689,in,1991
ER30690,sn,1991
ER30691,rh,1991
ER30695,mpair,1991
ER30733,in,1992
ER30734,sn,1992
ER30735,rh,1992
ER30739,mpair,1992
ER30806,in,1993
ER30807,sn,1993
ER30808,rh,1993
ER30812,mpair,1993
ER33101,in,1994
ER33102,sn,1994
ER33103,rh,1994
ER33107,mpair,1994
ER33201,in,1995
ER33202,sn,1995
ER33203,rh,1995
ER33207,mpair,1995
ER33301,in,1996
ER33302,sn,1996
ER33303,rh,1996
ER33307,mpair,1996
ER33401,in,1997
ER33402,sn,1997
ER33403,rh,1997
ER33407,mpair,1997
ER33501,in,1999
ER33502,sn,1999
ER33503,rh,1999
ER33507,mpair,1999
ER33601,in,2001
ER33602,sn,2001
ER33603,rh,2001
ER33607,mpair,2001
ER33701,in,2003
ER33702,sn,2003
ER33703,rh,2003
ER33707,mpair,2003
ER33801,in,2005
ER33802,sn,2005
ER33803,rh,2005
ER33807,mpair,2005
ER33901,in,2007
ER33902,sn,2007
ER33903,rh,2007
ER33907,mpair,2007
ER34001,in,2009
ER34002,sn,2009
ER34003,rh,2009
ER34007,mpair,2009
ER34101,in,2011
ER34102,sn,2011
ER34103,rh,2011
ER34107,mpair,2011
ER34201,in,2013
ER34202,sn,2013
ER34203,rh,2013
ER34207,mpair,2013
ER34301,in,2015
ER34302,sn,2015
ER34303,rh,2015
ER34308,mpair,2015
ER34501,in,2017
ER34502,sn,2017
ER34503,rh,2017
ER34507,mpair,2017
ER34701,in,2019
ER34702,sn,2019
ER34703,rh,2019
ER34707,mpair,2019
